NAME,neighbourhood_group,lat,long,cancellation_policy,room type,price,service fee,number of reviews,review rate number
Double Room in Upper East Side Apt - Central Park,Manhattan,40.76588,-73.95834,moderate,Private room,299.0,60.0,32,4.0
Brand-new Room - 20 mins to Manhattan,Brooklyn,40.70111,-73.94471,moderate,Private room,228.0,46.0,28,3.0
Radha Budget Cozy Private Room (fights NYC Hunger),Manhattan,40.72422,-73.98675,strict,Private room,828.0,166.0,85,3.0
Lovely Hell's Kitchen Studio...,Manhattan,40.76147,-73.99152,strict,Entire home/apt,993.0,199.0,72,4.0
Citrine Bedroom,Brooklyn,40.69436,-73.95526,strict,Private room,613.0,123.0,11,2.0
Apartment-NYC-LES-Lower East Side,Manhattan,40.71864,-73.98496,moderate,Entire home/apt,462.0,92.0,2,2.0
Very spacious 2 BR  in Crown Heights,Brooklyn,40.67812,-73.94618,strict,Entire home/apt,62.0,12.0,30,2.0
Beautiful one-bedroom get away with park view,Manhattan,40.85811,-73.92921,strict,Entire home/apt,455.0,91.0,5,5.0
Cozy Place,Brooklyn,40.65972,-73.91933,flexible,Private room,528.0,106.0,1,4.0
Modern light and bright townhouse in Brooklyn.,Brooklyn,40.69231,-73.93781,flexible,Entire home/apt,635.0,127.0,23,2.0
Chill pad,Queens,40.72986,-73.85929,strict,Private room,371.0,74.0,7,5.0
Heaven in Hell’s Kitchen,Manhattan,40.76499,-73.98888,strict,Private room,896.0,179.0,67,2.0
Spacious room w/ own bathroom in the East Village,Manhattan,40.7308,-73.98619,flexible,Private room,482.0,96.0,4,3.0
Sohji House - Charming Apt w/King Bed in Ridgewood,Queens,40.70332,-73.90116,moderate,Entire home/apt,935.0,187.0,10,2.0
Bright Modern clean convenient Brooklyn Location,Brooklyn,40.69432,-73.90658,moderate,Entire home/apt,299.0,60.0,17,4.0
Beautiful One Bedroom  East Harlem Apt,Manhattan,40.79037,-73.9428,flexible,Entire home/apt,923.0,185.0,1,4.0
Comfortable room 15 minutes to Manhattan,Queens,40.77705,-73.91356,flexible,Private room,186.0,37.0,20,1.0
New!!!  4 BR/2 Bth in a private house.,Queens,40.77774,-73.78376,moderate,Entire home/apt,503.0,101.0,85,3.0
Ivoire Business Solutions LLC,Bronx,40.86289,-73.90421,strict,Private room,554.0,111.0,42,3.0
A TASTE OF BROOKLYN,Brooklyn,40.68243,-73.9534,flexible,Entire home/apt,734.0,147.0,2,5.0
Lovely Room in 3 Bedroom Apartment in Queens!,Queens,40.73326,-73.8594,strict,Private room,368.0,74.0,1,4.0
Clinton Hill - Garden Apt,Brooklyn,40.68256,-73.96108,moderate,Entire home/apt,121.0,24.0,97,1.0
"Luxury Penthouse Suite at the Manhattan Club, NYC",Manhattan,40.76419,-73.98048,flexible,Private room,479.0,96.0,4,4.0
Waterfront views of Manhattan,Brooklyn,40.686146,-74.004158,moderate,Entire home/apt,82.0,16.0,50,2.0
Cozy 1 BD in lovely Bedstuy Apartment,Brooklyn,40.68474,-73.93833,moderate,Private room,858.0,172.0,1,2.0
Stunning Greenwich Village Triplex,Manhattan,40.73297,-73.99217,flexible,Entire home/apt,652.0,130.0,9,4.0
Budget Friendly & Spacious,Brooklyn,40.64738,-73.89163,flexible,Private room,530.0,106.0,54,2.0
"Spacious, Clean, Modern w/ Laundry + Netflix",Brooklyn,40.66029,-73.944038,moderate,Entire home/apt,552.0,110.0,54,2.0
Beautifully Decorated Entire Floor of Brownstone,Brooklyn,40.67271,-73.97663,moderate,Entire home/apt,549.0,110.0,1,2.0
NEW renovated bathroom & Private Bathroom,Queens,40.74321,-73.87072,flexible,Private room,553.0,111.0,1,3.0
Shared male room on Manhattan with crazy view! I,Manhattan,40.70985,-73.98724,flexible,Shared room,281.0,56.0,2,3.0
Sunny 2 bd + Private rooftop on best GP street,Brooklyn,40.72831,-73.95634,strict,Entire home/apt,293.0,59.0,2,3.0
A homey home.,Brooklyn,40.62373,-74.02676,moderate,Entire home/apt,578.0,116.0,2,2.0
Queens Home short walk to Subway- 2 bedroom 2 bath,Queens,40.70248,-73.81937,flexible,Entire home/apt,136.0,27.0,31,3.0
Beautiful & spacious apartment on Upper East Side,Manhattan,40.76395,-73.96196,flexible,Entire home/apt,322.0,64.0,3,1.0
Modern room B into heart of Brooklyn close Subways,Brooklyn,40.68772,-73.90808,moderate,Private room,325.0,65.0,15,2.0
Cozy 3 Bedroom Private Home Near LIE Expressway,Queens,40.735012,-73.789673,strict,Entire home/apt,324.0,65.0,30,3.0
Pleasant-Place JFK Private Housings Complex,Queens,40.6631,-73.76749,strict,Private room,804.0,161.0,148,3.0
Modern 1 Bedroom In the Middle of Everything!,Brooklyn,40.70294,-73.94152,moderate,Entire home/apt,715.0,143.0,29,2.0
Spacious Quiet & Cozy 1.5 Bedroom in Williamsburg,Brooklyn,40.71754,-73.9423,strict,Entire home/apt,977.0,195.0,2,5.0
Cozy Cupcake Apartment,Queens,40.7627,-73.92126,moderate,Entire home/apt,520.0,104.0,4,2.0
CHARMING 1 BR NEAR CENTRAL PARK ★ LA VIE EN BLEU ★,Manhattan,40.770451,-73.955894,flexible,Entire home/apt,94.0,19.0,4,3.0
Cozy Private Room in Staten Island,Staten Island,40.6096,-74.08824,moderate,Private room,671.0,134.0,76,3.0
Private Bedroom in Queen -JFK 8mins,Queens,40.68461,-73.76899,moderate,Private room,564.0,113.0,98,1.0
Electric NYC + Luxury Room = Best vacation ever!,Manhattan,40.81065,-73.9457,strict,Private room,182.0,36.0,34,4.0
Lovely studio at the water front of LIC,Queens,40.74556,-73.95603,moderate,Entire home/apt,734.0,147.0,2,2.0
Sunny Elegant and Big Room!,Brooklyn,40.69114,-73.94601,strict,Private room,86.0,17.0,8,2.0
Beautiful Williamsburg Private Room,Brooklyn,40.71243,-73.95655,strict,Private room,541.0,108.0,1,1.0
Cozy & Daintily Adorned Room in Williamsburg,Brooklyn,40.71059,-73.95927,strict,Private room,515.0,103.0,22,2.0
Amazing 3BR/2Bath Apt in the coolest Brooklyn Spot,Brooklyn,40.71582,-73.94191,moderate,Entire home/apt,627.0,125.0,32,4.0
GORGEOUS Apartment in Astoria - close to Manhattan,Queens,40.77853,-73.90934,flexible,Entire home/apt,611.0,122.0,8,4.0
Bedroom in Brooklyn Communal House,Brooklyn,40.68116,-73.95726,strict,Private room,512.0,102.0,14,2.0
Peaceful Private Clean Rm Near 2/5Train/Metro N.,Bronx,40.89374,-73.85579,moderate,Private room,727.0,145.0,10,5.0
Sun-filled loft,Manhattan,40.72577,-73.99169,strict,Entire home/apt,930.0,186.0,1,5.0
2  Big Rooms in Brooklyn NY 1 block  from Subway!,Brooklyn,40.62937,-74.03001,strict,Private room,861.0,172.0,6,5.0
Quiet room in Bushwick Apartment above Jefferson L,Brooklyn,40.7069,-73.92284,moderate,Private room,262.0,52.0,1,3.0
Furnished Room w Private Bath + Private HUGE Patio,Brooklyn,40.69241,-73.96469,flexible,Private room,495.0,99.0,1,3.0
Sunny Brooklyn Apartment With Private Terrace,Brooklyn,40.69164,-73.93431,strict,Entire home/apt,359.0,72.0,3,5.0
PRIVATE 1 Bedroom w/ your own bathroom & entrance!,Brooklyn,40.69814,-73.92805,flexible,Private room,379.0,76.0,3,2.0
1Cosy room for solo/couple in bushwick,Brooklyn,40.69326,-73.90431,flexible,Private room,214.0,43.0,22,4.0
Prime Location Private Room in a Williamsburg,Brooklyn,40.70803,-73.96142,flexible,Private room,835.0,167.0,6,4.0
Great Prospect / Crown Heights 1BR,Brooklyn,40.67586,-73.9621,moderate,Entire home/apt,556.0,111.0,22,4.0
Luxury Brooklyn 1BR just minutes from Manhattan,Brooklyn,40.69269,-73.97977,flexible,Private room,318.0,64.0,6,2.0
Big Cozy Room 2 Blocks From Trains,Brooklyn,40.644,-74.01092,flexible,Private room,64.0,13.0,2,3.0
Comfortable friendly atmosphere,Brooklyn,40.69449,-73.93726,strict,Private room,313.0,63.0,4,2.0
Sunny 2BR Railroad Apt. in LIC,Queens,40.74493,-73.9537,strict,Entire home/apt,628.0,126.0,1,1.0
Midtown perfect apartment!,Manhattan,40.7458,-73.98067,strict,Entire home/apt,822.0,164.0,2,3.0
Newly furnished Beautiful  East Village Studio,Manhattan,40.72843,-73.97958,moderate,Entire home/apt,641.0,128.0,1,3.0
Warm and cozy,Manhattan,40.83463,-73.94,flexible,Shared room,707.0,141.0,32,2.0
Private Entire Studio 10min to LGA! 全独立套房十分钟法拉盛中心,Queens,40.77857,-73.84408,strict,Entire home/apt,388.0,78.0,50,2.0
A Little Sumptin' on Sumpter,Brooklyn,40.67878,-73.9172,moderate,Private room,836.0,167.0,22,4.0
Brooklyn at its Best!,Brooklyn,40.65966,-73.95601,flexible,Private room,376.0,75.0,160,3.0
Private Room in Brooklyn Home,Brooklyn,40.64003,-74.00315,strict,Private room,113.0,23.0,8,4.0
Midtown Manhattan upscale residences,Manhattan,40.75631,-73.98383,strict,Private room,549.0,110.0,1,3.0
2nd bedrm in duplex apt. ground floor! no stairs,Brooklyn,40.70517,-73.94288,strict,Private room,237.0,47.0,2,4.0
Amazing & Cozy back Studio,Brooklyn,40.68488,-73.93035,moderate,Entire home/apt,412.0,82.0,48,4.0
Sunny Clean Bedroom,Manhattan,40.78987,-73.94883,strict,Private room,651.0,130.0,13,1.0
"Small, quiet, and clean 1BR in Manhattan",Manhattan,40.81032,-73.94331,flexible,Entire home/apt,649.0,130.0,3,4.0
Warm and Cozy Bedroom Apt.,Manhattan,40.80295,-73.95933,flexible,Private room,365.0,73.0,17,4.0
East Village 1B in 3B apt,Manhattan,40.72966,-73.98476,flexible,Private room,550.0,110.0,2,5.0
Manhattan bedroom near Central Park,Manhattan,40.78141,-73.9526,moderate,Private room,387.0,77.0,16,3.0
Beautiful Room 30 minutes to Manhattan,Bronx,40.87,-73.90129,strict,Private room,551.0,110.0,33,2.0
"Privacy, comfort, style in the heart of Park Slope",Brooklyn,40.67192,-73.97733,flexible,Entire home/apt,657.0,131.0,104,3.0
Large Private Bedroom in a 3 Story Brown Stone,Brooklyn,40.69098,-73.92622,moderate,Private room,342.0,68.0,2,4.0
Sonder Duane Street | Spacious Queen Room,Manhattan,40.71689,-74.00698,moderate,Private room,129.0,26.0,8,4.0
10 minutes from JFK Airport Rockaway Beach Livin,Queens,40.59762,-73.76719,flexible,Entire home/apt,216.0,43.0,3,4.0
Beautiful Ft. Greene Apartment-NEW!,Brooklyn,40.68533,-73.96808,moderate,Entire home/apt,276.0,55.0,20,5.0
Ajoupa Empire,Brooklyn,40.63249,-73.88925,strict,Entire home/apt,628.0,126.0,28,5.0
Sonder | The Biltmore | Stylish 1BR + Sofa Bed,Manhattan,40.76072,-73.98582,flexible,Entire home/apt,648.0,130.0,1,4.0
Nice room near Manhattan in a safe neighborhood,Queens,40.75176,-73.88374,strict,Private room,381.0,76.0,23,4.0
*Newly Renovated* Guest Suite w/ Private Entrance,Queens,40.71893,-73.8761,flexible,Entire home/apt,69.0,14.0,110,3.0
1Bdrm Deluxe WYNDHAM MIDTOWN 45*Great Location NYC,Manhattan,40.75388,-73.97308,moderate,Private room,477.0,95.0,2,4.0
Ideal Williamsburg #3 - Lorimer L train!,Brooklyn,40.71371,-73.95189,moderate,Private room,232.0,46.0,5,2.0
"Private, Spacious Bedroom in Harlem, single bed",Manhattan,40.80242,-73.94215,moderate,Private room,668.0,134.0,1,4.0
SUNNY APT Best location In Williamsburg!!!!!,Brooklyn,40.71024,-73.96081,strict,Entire home/apt,50.0,10.0,120,1.0
An Island Apartment in New York City,Manhattan,40.76335,-73.95014,strict,Private room,987.0,197.0,60,4.0
"Modern, Sunlit Apartment w/ Balcony",Brooklyn,40.68795,-73.95203,strict,Entire home/apt,232.0,46.0,6,3.0
Modern 3 Bedroom Apartment in Times Square,Manhattan,40.76553,-73.9909,moderate,Entire home/apt,605.0,121.0,3,4.0
Private Cozy Apartment,Queens,40.6726,-73.84567,strict,Entire home/apt,565.0,113.0,1,2.0
"Quaint, Cozy apartment in Queens",Queens,40.69748,-73.90127,moderate,Entire home/apt,109.0,22.0,5,4.0
Cozy Bed - Stuy hideaway (The Fulton Room),Brooklyn,40.68537,-73.9436,strict,Private room,494.0,99.0,11,1.0
Cozy Van,Manhattan,40.73399,-74.00357,flexible,Entire home/apt,853.0,171.0,54,5.0
Beautiful garden access apartment,Brooklyn,40.69589,-73.91444,moderate,Entire home/apt,725.0,145.0,10,5.0
Friendly and kind!Clean and safe!Best hostel ever!,Brooklyn,40.57608,-73.9614,flexible,Shared room,766.0,153.0,34,1.0
Lovely 1 bedroom apartment,Brooklyn,40.6772,-73.94541,flexible,Entire home/apt,947.0,189.0,2,5.0
Shoreham Hotel - Boutique Hotel Studio Close to Iconic Landmarks,Manhattan,40.7635,-73.97536,flexible,Entire home/apt,437.0,87.0,5,4.0
The Penthouse,Manhattan,40.79398,-73.94159,moderate,Entire home/apt,215.0,43.0,14,3.0
"The Gregory Hotel, Tailored Double (2 Double Beds)",Manhattan,40.74924,-73.98722,flexible,Private room,961.0,192.0,5,2.0
"Master Bedroom close to LGA ,JFK, and highways",Queens,40.74322,-73.86005,flexible,Private room,621.0,124.0,29,3.0
Clean and Cozy in Greenpoint/W'burg,Brooklyn,40.72559,-73.95384,strict,Entire home/apt,646.0,129.0,2,1.0
Private Bedroom & Living Room in Sunny Apt,Brooklyn,40.66938,-73.99164,strict,Private room,279.0,56.0,4,5.0
Quiet and Sunny Astoria NYC apt,Queens,40.75636,-73.927,moderate,Entire home/apt,775.0,155.0,10,3.0
Shared studio apartment!,Queens,40.74873,-73.94174,strict,Shared room,726.0,145.0,1,3.0
Comfy Private bedroom with balcony.25mnTimeSquare,Queens,40.72045,-73.85782,flexible,Private room,108.0,22.0,2,4.0
5 G free WiFi in room.,Manhattan,40.74524,-73.98298,flexible,Private room,485.0,97.0,16,5.0
Beautiful & Private Manhattan Room,Manhattan,40.82398,-73.94846,flexible,Private room,721.0,144.0,59,2.0
UNTITLED at Freeman - Queen Studio 916,Manhattan,40.72252,-73.99355,moderate,Entire home/apt,541.0,108.0,10,2.0
"WONDERFUL, COMFORTABLE STUDIO",Brooklyn,40.68048,-73.94911,moderate,Entire home/apt,174.0,35.0,218,3.0
Cozy 4bed 2bath apartment with washer&dryer,Brooklyn,40.66953,-73.99139,strict,Entire home/apt,576.0,115.0,4,2.0
Light filled Brooklyn apartment with deck!,Brooklyn,40.66775,-73.97738,moderate,Entire home/apt,987.0,197.0,5,4.0
423 ocean parkway,Brooklyn,40.63929,-73.9718,moderate,Private room,557.0,111.0,29,2.0
"the shoebox, west chelsea",Manhattan,40.74577,-74.00606,strict,Entire home/apt,354.0,71.0,119,4.0
Good Deal! Large Clean and Stylish 1Bedroom!,Brooklyn,40.62803,-73.9675,strict,Entire home/apt,883.0,177.0,6,5.0
Williamsburg - Berry and N 9th,Brooklyn,40.71909,-73.95811,moderate,Private room,936.0,187.0,1,5.0
Huge Room in First Floor Brownstone,Brooklyn,40.67318,-73.94842,flexible,Private room,703.0,141.0,19,2.0
Bushwick Connection,Queens,40.70513,-73.90976,flexible,Entire home/apt,882.0,176.0,24,5.0
420 Friendly Staycation Chill Palace,Brooklyn,40.67763,-73.93717,strict,Private room,394.0,79.0,149,3.0
Luxury Bushwick Apartment,Brooklyn,40.69995,-73.92937,strict,Entire home/apt,942.0,188.0,14,1.0
$30 per night private room Bushwick,Brooklyn,40.69845,-73.93495,moderate,Private room,563.0,113.0,3,1.0
The Residences at W New York - Downtown - Apt 29A,Manhattan,40.70829,-74.01318,moderate,Entire home/apt,204.0,41.0,6,5.0
UNTITLED at Freeman - Alley King Studio 320,Manhattan,40.7228,-73.99348,flexible,Entire home/apt,301.0,60.0,9,3.0
Bronx Home,Bronx,40.88563,-73.85975,flexible,Private room,168.0,34.0,40,3.0
Private room in classic SoHo loft,Manhattan,40.72675,-74.00757,flexible,Private room,760.0,152.0,49,5.0
Great apt in amazing East Village!,Manhattan,40.72692,-73.98781,flexible,Private room,815.0,163.0,8,5.0
New renovation cozy home 12 min train to Manhattan,Queens,40.74508,-73.90291,flexible,Shared room,926.0,185.0,8,4.0
"Beautiful, large West Village apartment",Manhattan,40.73563,-73.99846,moderate,Entire home/apt,462.0,92.0,1,3.0
"Huge 1 bdr, convenient location!",Queens,40.77742,-73.90965,moderate,Private room,283.0,57.0,3,1.0
SoHo 1 Bedroom,Manhattan,40.72503,-74.0013,moderate,Entire home/apt,509.0,102.0,26,3.0
"Warm, Cozy Room in our Classic Brooklyn Brownstone",Brooklyn,40.68261,-73.95187,moderate,Private room,164.0,33.0,17,4.0
"Exceptionally Cute, Cozy East Village Unit",Manhattan,40.72443,-73.98406,flexible,Entire home/apt,682.0,136.0,19,2.0
Spacious Two Bedroom Apt near Columbia University,Manhattan,40.80557,-73.96441,flexible,Entire home/apt,739.0,148.0,1,2.0
Very Good Location and entire place for you,Queens,40.75232,-73.78042,strict,Entire home/apt,656.0,131.0,1,5.0
Private studio in Jackson Heights w/free parking,Queens,40.75115,-73.8939,flexible,Entire home/apt,309.0,62.0,91,2.0
"Rm in 3BR Dplx/1Bth, ClintonHill off WashingtonAve",Brooklyn,40.68073,-73.96217,strict,Private room,126.0,25.0,3,4.0
Sunny Clinton Hill Brownstone Apt w/ 600sq.ft Deck,Brooklyn,40.68683,-73.96177,moderate,Entire home/apt,829.0,166.0,1,5.0
Perfect location: Central to everything!,Brooklyn,40.68338,-73.95075,strict,Entire home/apt,638.0,128.0,11,4.0
CLASSIC BEDROOM CLOSE TO MANHATTAN,Queens,40.76783,-73.92316,strict,Private room,969.0,194.0,143,5.0
Lovely 1-bedroom on Prospect Park,Brooklyn,40.66044,-73.97977,strict,Entire home/apt,197.0,39.0,5,2.0
Entire Floor Loft - Meatpacking District,Manhattan,40.74017,-74.00247,strict,Entire home/apt,476.0,95.0,5,4.0
HUGE 3500 sf 3 bed/3 bth Loft in SoHo/Little Italy,Manhattan,40.71841,-73.99753,moderate,Entire home/apt,792.0,158.0,38,4.0
"Private, 2-story apartment, near the Highline",Manhattan,40.74475,-74.00108,moderate,Entire home/apt,560.0,112.0,3,2.0
"Nolita (SoHo) - Lovely, brand new apartment",Manhattan,40.72186,-73.99696,strict,Entire home/apt,295.0,59.0,8,5.0
LUXURY BEDROOM # 3. Ten mins from JFK/Casino,Queens,40.68806,-73.77573,strict,Private room,698.0,140.0,30,5.0
Large Bright Home on 2 floors perfect for families,Brooklyn,40.69309,-73.94987,moderate,Entire home/apt,737.0,147.0,13,4.0
Amazing panoramic view loft,Manhattan,40.71321,-73.99099,flexible,Entire home/apt,666.0,133.0,18,4.0
Private Bedroom in UES New York shared apartment.,Manhattan,40.76996,-73.9539,flexible,Private room,119.0,24.0,24,5.0
Designer Studio with Private Terrace,Manhattan,40.78127,-73.98366,moderate,Entire home/apt,481.0,96.0,10,4.0
Ditmas Beauty II,Brooklyn,40.64202,-73.95821,flexible,Entire home/apt,727.0,145.0,11,4.0
Cozy Home Away1,Queens,40.67007,-73.77599,moderate,Private room,492.0,98.0,1,5.0
Cherry Hill House - Plum Room,Staten Island,40.63834,-74.08291,moderate,Private room,88.0,18.0,5,3.0
Newly Remodeled Private Room in SoHo,Manhattan,40.72033,-73.99527,flexible,Private room,855.0,171.0,1,3.0
"Apr - Jun, Entire apt, UWS near park and subway!",Manhattan,40.78883,-73.96848,flexible,Entire home/apt,73.0,15.0,2,4.0
Beautiful  Brownstone Apartment-Historic District,Brooklyn,40.68429,-73.93448,flexible,Entire home/apt,439.0,88.0,14,5.0
Entire Apartment in the East Village - 2 Bedroom,Manhattan,40.72529,-73.98655,strict,Entire home/apt,353.0,71.0,5,1.0
"Staypineapple New York, Cosmo Connectors",Manhattan,40.75436,-73.99391,flexible,Private room,714.0,143.0,13,3.0
Gorgeous 1 BR in N Williamsburg,Brooklyn,40.71947,-73.9552,strict,Entire home/apt,818.0,164.0,3,1.0
Shoreham Hotel - Chic Studio near Central Park,Manhattan,40.76184,-73.97574,strict,Entire home/apt,853.0,171.0,2,3.0
Room for 2  Per diem $50 rental up to 30 days max,Brooklyn,40.60331,-73.95082,strict,Private room,580.0,116.0,2,3.0
Cozy Bohemian chic apt in Bed-stuy,Brooklyn,40.68539,-73.94973,moderate,Private room,506.0,101.0,39,4.0
Cozy 2 Bedroom Chelsea,Manhattan,40.74043,-74.00078,flexible,Entire home/apt,731.0,146.0,60,3.0
City Outside! Tranquility Inside +Private Terrace,Manhattan,40.76022,-73.96607,strict,Entire home/apt,834.0,167.0,2,4.0
Sunlit Room in Brooklyn Brownstone,Brooklyn,40.6868,-73.96517,strict,Private room,272.0,54.0,1,4.0
Room 4 ( 8 by 12),Brooklyn,40.65286,-73.94532,strict,Private room,983.0,197.0,2,2.0
"Own Room & Bath, Sunny Town House, 18"" to Wall St",Brooklyn,40.68106,-73.9292,flexible,Private room,701.0,140.0,29,5.0
Beautiful Spacious NYC Apartment,Manhattan,40.76859,-73.94359,flexible,Entire home/apt,158.0,32.0,3,2.0
"Cozy Studio in Times Square, NYC",Manhattan,40.75855,-73.98931,flexible,Entire home/apt,275.0,55.0,19,3.0
Large 1BR Apartment in Unbeatable LES Location,Manhattan,40.72066,-73.98825,strict,Entire home/apt,636.0,127.0,26,3.0
Riverside Charm with Fire Place,Manhattan,40.77944,-73.98567,strict,Entire home/apt,369.0,74.0,49,2.0
Perfect midtown west studio,Manhattan,40.76885,-73.98631,strict,Entire home/apt,371.0,74.0,68,3.0
Your own Private Apt to Land in Manhattan,Manhattan,40.76497,-73.98237,moderate,Private room,769.0,154.0,2,4.0
"Huge bedroom suite in Greenpoint, Brooklyn",Brooklyn,40.73287,-73.95211,strict,Private room,117.0,23.0,104,4.0
All that you need. 1 bedroom in shared apt.,Manhattan,40.71473,-73.99091,moderate,Private room,844.0,169.0,7,5.0
"Delightful, Bright and Comfortable Bedroom",Manhattan,40.8115,-73.93957,moderate,Private room,452.0,90.0,21,5.0
Clean Spacious Apt in Williamsburg,Brooklyn,40.71896,-73.9592,strict,Entire home/apt,758.0,152.0,6,5.0
"Large  Lux Apt, Full Kitchen, 24/7 Onsite Team",Manhattan,40.76512,-73.97481,moderate,Entire home/apt,855.0,171.0,2,2.0
Gorgeous loft  with stunning view : Williamsburg,Brooklyn,40.71801,-73.95573,moderate,Entire home/apt,349.0,70.0,2,2.0
Eclectic Loft Room 20 min-Union Sq!,Brooklyn,40.70745,-73.92255,strict,Private room,63.0,13.0,12,5.0
Bright Top Floor + Private Terrace in Williamsburg,Brooklyn,40.71419,-73.94138,strict,Private room,942.0,188.0,7,3.0
Large & bright apartment in the West Village,Manhattan,40.73522,-73.99983,strict,Entire home/apt,787.0,157.0,19,2.0
"St. Marks, East Village penthouse loft w/ patio!",Manhattan,40.72842,-73.98679,strict,Private room,930.0,186.0,11,2.0
Beautiful room in renovated Manhattan apartment,Manhattan,40.83416,-73.94375,moderate,Private room,783.0,157.0,2,3.0
Deluxe King Size Time SQ. Boutique Hotel.,Manhattan,40.75949,-73.98606,strict,Private room,832.0,166.0,13,2.0
"Big apartment, comfy - calm bedroom",Manhattan,40.81574,-73.94871,moderate,Private room,69.0,14.0,98,4.0
NYC Chelsea,Manhattan,40.7458,-73.9957,moderate,Entire home/apt,458.0,92.0,29,4.0
A cozy and private place,Manhattan,40.82514,-73.95489,strict,Private room,139.0,28.0,41,2.0
Sonder | Stock Exchange | Private 1BR + Sofa Bed,Manhattan,40.7075,-74.01023,moderate,Entire home/apt,666.0,133.0,7,3.0
"Huge Bushwick 4BR apt w/private baths, sleeps 12!",Brooklyn,40.69463,-73.92707,flexible,Entire home/apt,107.0,21.0,1,5.0
Luxury Studio Apartment right by Central Park!!!,Manhattan,40.76119,-73.97005,moderate,Shared room,492.0,98.0,1,4.0
One very large room two beds,Brooklyn,40.68208,-73.9104,strict,Private room,339.0,68.0,2,5.0
Best Place to Stay in the Heart of Queens,Queens,40.74458,-73.94102,strict,Private room,76.0,15.0,5,4.0
Spacious 1 BR in a 2 BR apartment,Manhattan,40.74202,-73.98032,moderate,Private room,287.0,57.0,1,5.0
Two bedroom Beauty in midtown Manhattan,Manhattan,40.74844,-73.97694,flexible,Entire home/apt,607.0,121.0,1,5.0
Lovely Park Slope Garden Apartment,Brooklyn,40.66078,-73.98929,strict,Entire home/apt,774.0,155.0,6,5.0
Cathedral View,Manhattan,40.80115,-73.96282,flexible,Private room,756.0,151.0,1,5.0
Beautiful Upper East Side Apartment,Manhattan,40.77032,-73.95268,moderate,Entire home/apt,527.0,105.0,138,5.0
NYC  2-bedrooms apartment @ Brooklyn,Brooklyn,40.64032,-73.99493,moderate,Entire home/apt,895.0,179.0,2,3.0
Paradise & Luxury CONDO With PVT. Backyard.,Brooklyn,40.62806,-73.91445,moderate,Entire home/apt,774.0,155.0,112,2.0
For Heaven’s Cake 2,Queens,40.6653,-73.77054,flexible,Entire home/apt,580.0,116.0,12,5.0
Super cozy private room with own bathroom,Brooklyn,40.58508,-73.93801,moderate,Private room,288.0,58.0,4,3.0
Lovely 1 Bedroom with Loft on Beautiful UWS Block,Manhattan,40.77908,-73.97714,moderate,Entire home/apt,488.0,98.0,3,2.0
"Beautiful, Bright, Farmhouse Apt",Brooklyn,40.71197,-73.96061,flexible,Entire home/apt,102.0,20.0,3,4.0
"Near the City, Classic Brooklyn!",Brooklyn,40.68712,-73.94708,flexible,Entire home/apt,916.0,183.0,168,4.0
Big 1BR in park adjacent apartment,Brooklyn,40.65026,-73.96316,moderate,Private room,75.0,15.0,5,4.0
Best Deal in Brooklyn Bedroom with own Bathroom,Brooklyn,40.65625,-73.9218,moderate,Private room,907.0,181.0,77,3.0
10mins From UBS Arena 13mins FROM JFK ENTIRE UNIT,Queens,40.66085,-73.75768,flexible,Entire home/apt,264.0,53.0,14,5.0
"Best Location, Cozy Modern Room in Midtown",Manhattan,40.7496,-73.98244,strict,Entire home/apt,738.0,148.0,35,5.0
Beautiful and comfy private bed/bath in Manhattan!,Manhattan,40.82022,-73.95387,strict,Private room,370.0,74.0,1,2.0
Semi Private Bedroom,Bronx,40.85536,-73.90242,moderate,Shared room,840.0,168.0,3,3.0
Large Bright Williamsburg Apartment - Lorimer St.,Brooklyn,40.70954,-73.94808,flexible,Private room,683.0,137.0,6,3.0
Garden Level Nest in Brooklyn,Brooklyn,40.68512,-73.95767,strict,Entire home/apt,187.0,37.0,9,3.0
POLISHED BROOKLYN GETAWAY,Brooklyn,40.66087,-73.90935,moderate,Entire home/apt,527.0,105.0,2,5.0
"Charming, comfy, cozy, safe getaway.",Brooklyn,40.62072,-73.93265,strict,Private room,405.0,81.0,1,2.0
Brooklyn Brownstone — BedStuy Garden Apartment,Brooklyn,40.69081,-73.93025,moderate,Entire home/apt,696.0,139.0,10,4.0
Luxury Studio near Central Park - Times Square,Manhattan,40.76551,-73.98315,strict,Entire home/apt,155.0,31.0,3,2.0
Huge Luxury 1-bedroom with fire place &workplace,Queens,40.69454,-73.85715,flexible,Private room,207.0,41.0,17,5.0
Beautiful SoHo Loft,Manhattan,40.7234,-73.99967,flexible,Entire home/apt,536.0,107.0,3,4.0
Brooklyn Beauty! Private Bed+Bath,Brooklyn,40.72023,-73.9479,strict,Private room,412.0,82.0,1,5.0
Sunny 1-bedroom Long Island City Condo w/ Balcony!,Queens,40.75246,-73.93837,strict,Entire home/apt,556.0,111.0,7,3.0
"Studio in FlatIron, NYC !! ",Manhattan,40.73997,-73.98789,moderate,Entire home/apt,537.0,107.0,1,3.0
Great 3Bedroom Apt in Stunning Location,Manhattan,40.74895,-73.99652,flexible,Entire home/apt,443.0,89.0,3,4.0
Carriage House Loft with Fireplace,Brooklyn,40.68968,-73.95213,flexible,Entire home/apt,971.0,194.0,11,1.0
